STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-10,24,"H,,S",27.6,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-11,19.4,"H,,S",26.4,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-12,16.1,"H,,S",21.5,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-13,15,"H,,S",,,9.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-14,16.3,"H,,S",21.4,",,S",11,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-15,19.2,"H,,S",,,14.1,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-16,20.3,"H,,S",,,15.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-17,21.8,"H,,S",,,17.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-18,22.8,"H,,S",,,19.3,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-19,22.2,"H,,S",28.3,",,S",,
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-20,21.8,"H,,S",,,20,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-21,20.8,"H,,S",25.8,",,S",19.8,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-22,17.8,"H,,S",21.9,",,S",15.4,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-23,16.7,"H,,S",,,15,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-24,15.3,"H,,S",,,11.2,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-25,15.3,"H,,S",,,9.6,",,S"
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1,2019-05-26,17.2,"H,,S",21.5,",,S",13.2,",,S"
